Название;Автор;Рейтинг;Старая цена;Новая цена;Издательство;Год издания;ISBN;Обложка;Описание
История кота, изменившего одну жизнь. Признание в любви;Лаура Агусти;4.57;879 ₽;695 ₽;КоЛибри;2023;978-5-389-21529-0;https://cdn.img-gorod.ru/310x500/nomenclature/29/738/2973823.jpg;История Лауры и Ойе, сиамского кота, который появился в ее жизни крошечным белым комочком, умещавшимся на ладони, и прожил с ней под одной крышей семнадцать лет. Автобиографическое повествование начинается в восьмидесятые годы в испанском городке в провинции Теруэль, где будущая художница росла в окружении жуков, ежей, собак и кошек, читая у камина сказки о животных и внимательно наблюдая за полетом птиц. Несколько лет спустя, обосновавшись в Барселоне, Лаура продолжит взращивать свою любовь ко всему живому и дарить ее своим питомцам. Прекрасно иллюстрированный, захватывающий рассказ об эмоциональной привязанности, наполненный любопытными фактами и полезными советами для каждого любителя кошек. «Те из нас, кому посчастливилось иметь домашних питомцев, знают, что именно они нас выбирают. Можно назвать это духовной связью, энергией или любовью — не важно: мы прекрасно понимаем, что это такое». (Лаура Агусти)
Хроники странствующего кота;Хиро Арикава;4.5;289 ₽;222 ₽;Азбука;2023;978-5-389-23051-4;https://cdn.img-gorod.ru/310x500/nomenclature/29/779/2977977.jpg;«Хроники странствующего кота» — бестселлер Хиро Арикавы, покоривший сердца миллионов читателей по всему миру. Это удивительная, трогательная история дружбы кота со «счастливым» именем Нана, что означает по-японски «семь», и его хозяина Сатору. Вместе с тем это роман-путешествие, в котором герои перемещаются как в пространстве, так и во времени: Нана открывает для себя безбрежные морские просторы и красоту горы Фудзи, а Сатору как будто заново переживает события детства и юности. На первый взгляд кот Нана, выступающий в роли рассказчика, реалист и прагматик до мозга костей, со своей, сугубо кошачьей, философией жизни. Однако ему удается так глубоко проникнуть во внутренний мир своего хозяина, что иногда он понимает Сатору лучше его самого. Кто же они друг для друга? Зачем Сатору раз за разом отправляется в путь, прихватив с собой любимого кота?..
Как правильно любить собак. Рассказы;Эдуард Успенский;4.67;299 ₽;218 ₽;АСТ;2023;978-5-17-155466-8;https://cdn.img-gorod.ru/310x500/nomenclature/29/800/2980051.jpg;У писателя Эдуарда Успенского в течение жизни было много собак. Крупных, охранных, и мелких — декоративных, домашних, для дружбы. Он про них написал небольшие рассказы, а заодно рассказал об особенностях пород. Получилась книга про собак, но не только. Ещё и про людей: друзей, соседей и всех, кто любит и понимает собак и других замечательных животных.Может ли собака уронить люстру?Запросто. Стоит только на неё запрыгнуть и раскачать. Для ягдтерьера, неутомимого охотника, в этом нет ничего сложного, главное — поставить цель.А вот большие собаки, например, ризеншнауцеры, как правило добродушны, веселы и любят резвиться, воображая себя маленькими собачками. Нет для них большего удовольствия, чем взобраться хозяину на ручки!Каких только собак не было у писателя Эдуарда Успенского! И каждая со своим нравом и своими предпочтениями.Ко всем приходилось приспосабливаться.Где уж тут думать о чистоте костюма и порядке в доме!
Можно я останусь с мамой?;Анна Купырина;Отсутствует;Отсутствует;729 ₽;Феникс-Премьер;2023;978-5-222-38271-4;https://cdn.img-gorod.ru/310x500/nomenclature/29/816/2981670.jpg;Трогательная история дружбы городского мальчика и деревенского телёнка. Приехав к бабушке на каникулы, впервые надолго оказавшись без мамы, герой книги знакомится с деревенскими жителями и обычаями, взрослеет, учиться любить и брать ответственность за того, кто тебе дорог.Полная надежды и веры в добро история про лето, которое изменило жизнь. А кому-то и спасло её. История про милосердие, сострадание и настоящую любовь.
Бегущие по кромке леса;Евгения Русинова;Отсутствует;Отсутствует;729 ₽;Феникс-Премьер;2023;978-5-222-38272-1;https://cdn.img-gorod.ru/310x500/nomenclature/29/816/2981671.jpg;"Лисёнок всегда возвращался. Но в этот раз он не смог пересечь шумную автостраду, чтобы добраться до родного леса. Зоя всегда жила в уютном доме вместе с родителями. Но в этот раз ей пришлось переехать в чужой город, пойти в незнакомую школу и жить в съёмной квартире. Два потерянных существа случайно встретились, чтобы стать настоящими друзьями. Больше чем друзьями! Но смогут ли они навсегда остаться вместе? И можно ли до конца приручить дикого зверя? ""Бегущие по кромке леса"" - книга про настоящую ответственность перед другими за их чувства и будущее."
Люсси и Барбос. Книга первая. Опасное приключение;Серж Десси,;3;Отсутствует;1 299 ₽;СУПЕР Издательство;2022;978-5-9965-2606-2;https://cdn.img-gorod.ru/310x500/nomenclature/29/819/2981979.jpg;«Одним прекрасным сентябрьским утром, когда солнышко только, только расправило свои лучики и залило золотым светом всю землю, маленькая собачка Люсси жившая на первом этаже красивого дома забралась на подоконник большого окна, и стала смотреть на улицу…»
Рассказы о животных;Борис Житков;5;599 ₽;397 ₽;Стрекоза;2023;978-5-9951-5559-1;https://cdn.img-gorod.ru/310x500/nomenclature/29/821/2982135.jpg;В сборник вошли Рассказы о животных Бориса Житкова. Вы узнаете, куда подевались бабушкины очки, как ребята ходили в зоосад и как в квартире писателя поселился волк.Книга для детей младшего школьного возраста.
Тайна ночного леса. Сказка и рассказ;Виталий Бианки;Отсутствует;599 ₽;397 ₽;Стрекоза;2023;978-5-9951-5560-7;https://cdn.img-gorod.ru/310x500/nomenclature/29/821/2982137.jpg;"В сборник вошли произведения Виталия Валентиновича Бианки о жизни птиц ""Оранжевое Горлышко"" и ""Тайна ночного леса"".Книга для детей младшего школьного возраста."
25 граммов счастья. История маленького ежика, который изменил жизнь человека;Массимо Ваккетта,;5;299 ₽;197 ₽;БОМБОРА;2023;978-5-04-184573-5;https://cdn.img-gorod.ru/310x500/nomenclature/29/832/2983250.jpg;Эта жизнеутверждающая история о человеке и маленьком ежике докажет вам, что ни одна любовь не может быть слишком большой, и ни одно существо не может быть слишком маленьким. Итальянский ветеринар Массимо Ваккетта рассказывает о необычайной встрече, изменившей его жизнь. После болезненного развода он чувствовал себя разбитым и подавленным, пока в клинике не появился осиротевший ежонок, который весил всего 25 граммов. Борьба за его жизнь помогла ветеринару выйти из депрессии и обрести новый смысл в своей профессии. Спасая ежика Нинну, Массимо раскрывает свою яркую индивидуальность, и вскоре в его руках один за другим оказываются другие колючие малыши: люди начинают искать необычного ветеринара, чтобы исцелить и позаботиться о самых уязвимых и слабых существах, которых порой никто не замечает.
Маугли;Редьярд Киплинг;5;Отсутствует;Отсутствует;Самовар;2010;978-5-9781-0905-4;https://cdn.img-gorod.ru/310x500/nomenclature/18/774/1877496.jpg;Удивительная история о мальчике, выросшем в суровых джунглях и воспитанном дикими зверями. Читатель встретится с Багирой, Каа, Акелой, Балу и другими любимыми героями одноименного мультфильма. Сказка настолько хороша, что многие фразы из нее стали крылатыми.
Спасибо Уинн-Дикси: Повесть;Кейт ДиКамилло;Отсутствует;Отсутствует;Отсутствует;Махаон;2022;978-5-389-03604-8;https://cdn.img-gorod.ru/310x500/nomenclature/21/476/2147654.jpg;"Десятилетняя Индия Опал Булони переезжает вместе с отцом в крохотный южный городок Наоми и чувствует себя ужасно одинокой - до тех пор, пока в один прекрасный день не встречает в супермаркете под названием ""Уинн-Дикси"" нелепого бездомного пса, который умеет улыбаться совершенно по-человечески. Девочке ничего не остается, как взять его с собой, так и назвав - Уинн-Дикси. Смешная собака учит свою маленькую хозяйку смотреть на мир другими глазами: благодаря ей Опал знакомится с удивительными людьми и наконец находит друзей там, где меньше всего ожидала. Красочные, оригинальные иллюстрации и великолепный перевод сделают эту книгу незабываемой для маленьких читателей"
Марли и я;Джон Грогэн;5;Отсутствует;Отсутствует;Добрая книга;2009;978-5-98124-459-9;https://cdn.img-gorod.ru/310x500/nomenclature/21/931/2193166.jpg;Третье специальное издание смешного и трогательного супербестселлера выходит в свет одновременно с выходом на экраны снятого по книге одноименного художественного фильма с Дженнифер Энистон и Оуэном Уилсоном в главных ролях.
Дьюи. Кот из библиотеки, который потряс весь мир;Вики Майрон;3;Отсутствует;Отсутствует;Центрполиграф;2012;978-5-227-03653-7;https://cdn.img-gorod.ru/310x500/nomenclature/22/008/2200811.jpg;Какие переживания может вынести животное? Сколько жизней у кошки? Как получилось, что несчастный котенок-подкидыш сделал маленькую библиотеку местом встречи окрестных жителей и центром притяжения для туристов, а провинциальный американский городок — известным во всем мире? В самом ли деле мы спасаем бесприютных животных, принимая в свой дом, или, наоборот, эти бессловесные существа становятся для нас опорой в преодолении житейских невзгод и трудностей? Об этом и многом другом в потрясающей книге Вики Майрон, которая сумела тронуть душу миллионов читателей во всех уголках планеты.
Белый Бим Черное Ухо : повести;Гавриил Троепольский;4.38;Отсутствует;Отсутствует;Эксмо;2010;978-5-699-42818-2;https://cdn.img-gorod.ru/310x500/nomenclature/22/570/2257054.jpg;Эта книга рассказывает об удивительной и трагической судьбе охотничьей собаки по кличке Бим, о ее хозяине и других людях, которых Бим научил справедливости и добру.
Глаз волка : для сред. шк. возраста;Даниэль Пеннак;3;Отсутствует;Отсутствует;Самокат;2015;978-5-91759-892-5;https://cdn.img-gorod.ru/310x500/nomenclature/23/113/2311316.jpg;В Парижском зоопарке происходят невероятные события: одноглазый полярный Волк и маленький африканский мальчик молча рассказывают друг другу истории, одна  удивительнее другой.В двух зрачках – мальчишечьем и волчьем – мелькают, сменяя друг друга, заснеженная Тундра, желтая, серая и зеленая Африки. Где-то там, в прошлом, звучат выстрелы,  раздаются крики, шум пропеллеров и вой шакалов, вспыхивают золотые блестки и  дождь обволакивает джунгли. Волк и мальчик  пристально смотрят друг на друга.И чем больше узнают друг друга, тем яснее  понимают, что будь ты волком или мальчиком, верблюдом или гепардом - если тебе хватило терпения и мудрости  услышать историю чужого сердца и откликнуться на нее, ты  больше не одинок. Оставаясь по разные стороны решетки зоопарка, Волк и мальчик по имени Африка сломают клетку недоверия и подозрительности – клетку, в которой может очутиться каждый и из которой не выбраться поодиночке.
Черный красавчик;Анна Сьюэлл;5;Отсутствует;Отсутствует;ЭНАС-КНИГА;2012;978-5-91921-112-9;https://cdn.img-gorod.ru/310x500/nomenclature/23/132/2313239.jpg;"История благородного коня по имени Черный красавчик, верой и правдой служившего людям, рассказана от первого лица. На страницах книги главный герой проживает долгую лошадиную жизнь, полную непредсказуемых поворотов и драматических событий. Пройдя путь от несмышленого жеребенка до мудрого стареющего животного, Черный Красавчик научился различать добро и зло, быть преданным и терпеливым, ценить внимание и сочувствие. .По мотивам этой знаменитой книги снят многосерийный художественный фильм....."
Я и мой кот: Пушистые истории;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Альпина нон-фикшн;2017;978-5-91671-724-2;https://cdn.img-gorod.ru/310x500/nomenclature/23/620/2362003.jpg;Кошачий мир так же разнообразен, как и человеческий: наши пушистые любимцы могут быть жадными и злыми или преданными и нежными, умными и послушными или плохо управляемыми и просто сумасшедшими. Иногда они милые, а иногда вредничают, бесятся или наглеют. Кто-то из них держит хозяина на расстоянии, а кто-то, наоборот, постоянно требует внимания и ласки. Когда мы принимаем кошку в свой дом, она становится частью нашей жизни и делит с нами как радость, так и печаль. Люди, приславшие авторам бесхитростные рассказы о своих любимцах, очень многое поведали не только об обожаемых ими питомцах, но и о самих себе. Листая эту книгу, читатель с удовольствием вспомнит животных, которых знал и любил, а заодно просто насладится неподдельной искренностью историй об обычных людях и их необыкновенных кошках.
Радуга для друга. Формула добра. День надежды: повести;Михаил Самарский;4.2;Отсутствует;Отсутствует;Эксмо;2013;978-5-699-67028-4;https://cdn.img-gorod.ru/310x500/nomenclature/23/883/2388389.jpg;"""Радуга для друга"".Сашка – новый подопечный лабрадора Трисона. Да-да, подопечный, именно так пес называет людей, которым помогает. А помощь Сашке нужна: он потерял зрение в автокатастрофе, и теперь собака-поводырь стала его лучшим другом. Благодаря искренней любви этой умной и преданной собаки, мальчик смог снова радоваться жизни. Однако приобретенный в специальной школе навык – не нападать на людей – сыграл с псом злую шутку... Его похитили! Но верный друг не будет сидеть, сложа лапы, он будет бороться, потому что нужен Сашке! Трисон должен вернуться к нему!..""Формула добра"".Если ты собака-поводырь, то привередничать на работе тебе не к лицу. Вот и лабрадор Трисон поступил на службу к весьма необычной подопечной. Со слепой старушкой не побегаешь, не поиграешь, но он отлично справлялся со своей задачей не смотря ни на что. Правда, скоро все изменилось, судьба преподнесла сюрприз. И верный помощник попал к совсем другим хозяева. Поводырь стал... охранником! Казалось, быть на страже в детском садике – легче легкого, пока там не произошло страшное событие. Однако Трисон не простой пес, поэтому даже в критической ситуации смог показать себя с лучшей стороны!..""День надежды"".Лабрадору-поводырю Трисону повезло. От верной смерти его спасла добрая женщина. Но в благодарность ему теперь предстоит сыграть роль любимой собаки олигарха. К несчастью, обнаружив подмену, миллионер приказал наказать Трисона. Чье милосердие вновь спасет собаке жизнь?"
Тимбукту;Пол Бенджамин Остер;Отсутствует;Отсутствует;Отсутствует;Эксмо;2014;978-5-699-71785-9;https://cdn.img-gorod.ru/310x500/nomenclature/24/117/2411795.jpg;Однажды нью-йоркский поэт Вилли Гуревич вообразил, что послан в мир Санта-Клаусом. Узрев своего патрона в телевизоре, он поменял фамилию на Сочельник и отправился по стране творить добро в компании верного пса по кличке Мистер Зельц — которому и отведена роль рассказчика. Трогательная история их странствий изложена прославленным автором «Нью-йоркской трилогии» и «Книги иллюзий», «Левиафана» и «В стране уходящей натуры» со своей фирменной проникновенностью, классической простотой и сдержанной печалью. И вряд ли Пол Остер имел в виду Чехова, а уж Гавриила Троепольского читать никак не мог, но его Мистер Зельц наследует по прямой и Каштанке, и Белому Биму Черное Ухо.
Муму;Иван Тургенев;4.2;Отсутствует;Отсутствует;Эксмо;2016;978-5-699-71781-1;https://cdn.img-gorod.ru/310x500/nomenclature/24/150/2415043.jpg;"Перед вами книга из серии «Классика в школе», в которой собраны все произведения, изучаемые в начальной школе, средних и старших классах. Не тратьте время на поиски литературных произведений, ведь в этих книгах есть все, что необходимо прочесть по школьной программе: и для чтения в классе, и для внеклассных заданий. Избавьте своего ребенка от длительных поисков и невыполненных уроков...В книгу включены произведения И. С. Тургенева, которые изучают в 5-м классе.."
Томасина;Пол Гэллико;1;Отсутствует;Отсутствует;Розовый жираф;2014;978-5-4370-0140-0;https://cdn.img-gorod.ru/310x500/nomenclature/24/428/2442837.jpg;"«Томасина» — наиболее известная в России повесть Пола Гэллико. Это история о девочке, любившей свою кошку, о её папе-ветеринаре, потерявшем и вновь нашедшем любовь, о Безумной Лори, любившей всё живое, — словом, о любви, в которой только и есть смысл жизни и её залог. Повесть издана в классическом переводе Н.Л.Трауберг.."
Кот по имени Алфи;Рейчел Уэллс;4.69;Отсутствует;Отсутствует;АСТ;2015;978-5-17-090839-4;https://cdn.img-gorod.ru/310x500/nomenclature/24/693/2469375_1.jpg;"Может ли кот изменить вашу жизнь? После смерти хозяйки, Алфи оказался бездомным. Холодные ночи на незнакомых улицах Лондона, голод и одиночество — вот что ожидало домашнего любимца, привыкшего к ласке и комфорту. Алфи мечтал снова почувствовать себя нужным и любимым, и не сидел сложа лапы. На пути к своей мечте он помог многим людям обрести веру в себя, встретить настоящую любовь и обрести верных друзей. Алфи — маленький хозяин большой улицы."
Кошка Далай-Ламы. Чудесное спасение и удивительная судьба уличной кошки из трущоб Нью-Дели;Дэвид Мичи;4.46;Отсутствует;Отсутствует;Эксмо;2015;978-5-699-74367-4;https://cdn.img-gorod.ru/310x500/nomenclature/24/715/2471528.jpg;Чудесное спасение и удивительная судьба уличной кошки из трущоб Нью-Делли.Книга «Кошка Далай-ламы» - это легкая и веселая книга, в которой описывается чудесная история спасения котенка из трущоб Нью-Дели. Дерзкая и умная кошка откроет вам путь в священную Дхарамсалу, проведет по заснеженным Гималаям, а также познакомит с бытом самого Далай-Ламы. В книге содержатся духовные уроки о том, как обрести счастье и истинный смысл жизни в нашем суетном материалистическом мире. Увлекательные мысли необыкновенной кошки, которые содержатся на страницах этой замечательной книги, поднимут вам настроение и согреют ваше сердце.
Боб - необычный кот;Джеймс Боуэн;3;Отсутствует;Отсутствует;Рипол-Классик;2015;978-5-386-08497-4;https://cdn.img-gorod.ru/310x500/nomenclature/24/734/2473485.jpg;"«Боб – необычный кот» - это адаптированная для подростков версия нашумевшей книги «Уличный кот по имени Боб». Это книга о судьбе человека, который попадает в круговорот непростых жизненных обстоятельств, об отчаянии, потере веры в свои силы и об обретении уже было совсем утраченной надежды. О том, как на улицах шумного мегаполиса встретились человек и рыжий кот и подарили друг другу шанс на счастье и лучшую жизнь.."
Жизнь и цель собаки;Брюс Кэмерон;4.29;Отсутствует;Отсутствует;Эксмо;2015;978-5-699-82273-7;https://cdn.img-gorod.ru/310x500/nomenclature/24/794/2479491.jpg;"Брюс Кэмерон написал увлекательную, веселую и трогательную книгу о жизни собаки, а еще — о человеческих взаимоотношениях и неразрывных связях между хозяином и его четвероногим другом, о том, что любовь никогда не умирает, что наши истинные друзья всегда рядом и у всех нас есть свое предназначение. Главный герой этой книги — собака, которая, всякий раз рождаясь заново, обретает счастье в служении человеку: самоотверженной Сеньоре, одинокому мальчику Итану, потерявшей веру Майе или трогательной Венди. Брюс Кэмерон убеждает нас в том, что собаки способны на такие чувства, которые доступны далеко не каждому человеку. Чтобы доказать это, иногда собаке приходится побывать в разных шкурах, храбро встречать все невзгоды и, главное, никогда не терять из виду своего хозяина. Даже если их разделяют несколько жизней."
Боевой конь;Майкл Морпурго;5;Отсутствует;Отсутствует;Махаон;2015;978-5-389-08593-0;https://cdn.img-gorod.ru/310x500/nomenclature/24/905/2490544.jpg;Это пронзительная история о дружбе и преданности, рассказанная от имени лошади. Автор предлагает взглянуть на войну глазами лошади, почувствовать ужас и абсурдность войны, ответственность перед «братьями нашими меньшими».
Последний подарок: роман;Майк Бирн;5;Отсутствует;Отсутствует;АСТ;2015;978-5-17-093985-5;https://cdn.img-gorod.ru/310x500/nomenclature/24/965/2496594_1.jpg;Мама Брэдли умерла. А он вместе со своей верной собакой оказался на улице. У мальчика осталась только звуковая открытка с маминым голосом — ее последний подарок. Это самая ценная вещь, которая у него есть. По крайней мере, он так думал, пока не узнал, что в открытку его мама вложила лотерейный билет. Брэдли выиграл целый миллион, и теперь за ним открыта настоящая охота. Брэдли придется усвоить жестокую науку выживания на лондонском «дне», научиться выбирать друзей и доверять лишь тем, кто этого заслуживает.
Алфи — невероятный кот;Рейчел Уэллс;5;Отсутствует;Отсутствует;АСТ;2016;978-5-17-095602-9;https://cdn.img-gorod.ru/310x500/nomenclature/25/093/2509309_1.jpg;Оказавшись на улице, Кот Афли был близок к отчаянию, но благодаря своему обаянию, уму и доброте он обрел новый дом и новых друзей. Теперь Алфи стремится помочь тем, кто как и он, попал в беду или переживает полосу неудач. Он мирит поссорившихся, спасает тех, кто в этом нуждается, и просто делает мир лучше. А еще Алфи влюбляется…
Путешествие хорошего пса;Брюс Кэмерон;4.35;Отсутствует;Отсутствует;Эксмо;2017;978-5-699-85985-6;https://cdn.img-gorod.ru/310x500/nomenclature/25/314/2531479.jpg;"Брюс Кэмерон написал удивительную историю о надежде, любви и бесконечной преданности собаки...Малыш — очаровательный и добрый пес. Он прожил насыщенную событиями жизнь и выполнил свое предназначение — помог Итану, своему хозяину, стать счастливым... И теперь, когда хозяина больше нет. Малыш очень скучает. Но Клэрити, внучка Итана, не дает ему унывать. Когда она вырастет, ей тоже понадобится друг, который будет защищать ее от неприятностей. Почему бы Малышу не стать таким другом?..Судьба дарит храброму псу новый шанс и новую жизнь, ведь его предназначение — служить людям, помогать им справляться с невзгодами.."
И тут появилась Люси;Брюс Кэмерон;4.5;Отсутствует;Отсутствует;Эксмо;2017;978-5-699-87715-7;https://cdn.img-gorod.ru/310x500/nomenclature/25/515/2551520.jpg;Что делать, если любимая девушка ушла к другому, а родители развелись? Джош Майклз не знает, куда себя деть, ему одиноко и тоскливо. Но все меняется, когда старый приятель просит его приютить беременную собаку. Джош напуган, но отказать не может. Так в его доме появляется добрая и самоотверженная Люси, а чуть позже – милые и озорные щенки. Джош всем сердцем привязывается к собакам, но понимает: придется вернуть Люси хозяину и навсегда забыть о ней. Ведь это все равно, что расстаться с другом, о котором долго мечтал и которого только что обрел. Однако скоро Рождество, а в этот день, как известно, сбывается то, о чем в другие дни нельзя даже мечтать.
Смерти вопреки. Реальная история человека и собаки на войне и в концлагере;Роберт Вайнтрауб;5;Отсутствует;Отсутствует;Эксмо;2016;978-5-699-91618-4;https://cdn.img-gorod.ru/310x500/nomenclature/25/581/2558180.jpg;"Невероятная - и при этом совершенно реальная - история двух друзей - рядового британских ВВС Фрэнка Уильямса и собаки Джуди во время Второй мировой. Они пережили бомбежки и кораблекрушения, провели несколько лет в японском концлагере, поочередно спасая друг друга от смерти. Фрэнк добился для собаки статуса официальной военнопленной, а та подкармливала своего друга добытой в джунглях дичью. Они едва не погибли на торпедированном английской субмариной ""адском судне"" - транспорте для перевозки заключенных, но сумели воссоединиться под носом у надсмотрщиков. Выжив в концлагере, Фрэнк и Джуди не расставались до самой смерти. История Фрэнка и Джуди не уступает истории Хатико, а в чем-то даже превосходит ее: преданность и отвага, яростная воля к жизни и самоотверженность двух друзей стали легендарными."
ПодарокОтБоба Оливер. Кот, который спас праздник;Отсутствует;2.33;Отсутствует;Отсутствует;АСТ;2016;978-5-17-097132-9;https://cdn.img-gorod.ru/310x500/nomenclature/25/606/2560600_1.jpg;Бездомному котенку Оливеру недолго пришлось скитаться по улицам. Джордж, владелец паба в маленькой деревеньке Брумфорд, стал ему хозяином и другом. Несколько лет Оливер жил припеваючи, радуя посетителей паба громким мурлыканьем и веселым нравом. Но однажды случился пожар, и Джордж с котом остались без крыши над головой, а Брумфорд - без паба и деревенского зала для праздников. И все это - незадолго до Рождества! Оливер понимает, что просто обязан спасти праздник. Теперь все в его лапах!
Пёс, который изменил мой взгляд на мир. Приключения и счастливая судба пса Наузада;Пен Фартинг;4.5;Отсутствует;Отсутствует;АСТ;2016;978-5-17-092800-2;https://cdn.img-gorod.ru/310x500/nomenclature/25/611/2561138_1.jpg;"""Я устроилась на диване с этой книгой в одной руке, чашкой кофе в другой и коробкой шоколадных конфет на столике. Кофе остыл, к конфетам я так и не притронулась - была целиком поглощена чтением. Невозможно оторваться!"" С. Харрисон. Мой первоначальный план на жизнь после демобилизации из Королевской морской пехоты состоял в том, чтобы, дав волю своему увлечению скалолазанием, стать инструктором по альпинизму, желательно где-нибудь в теплых краях. Я и представить себе не мог, что буду заниматься спасением бездомных животных в Афганистане… это был совершенно неожиданный финт судьбы. И все благодаря потрепанному, безухому, голодному ""бойцовому"" псу, которого я назвал Наузадом по названию городка, в котором находилась наша база. Именно этот пес изменил всю мою жизнь."
Кошки, собаки и... другие люди;Стелла Сафонова,;5;Отсутствует;Отсутствует;Кладезь;2016;978-5-17-093613-7;https://cdn.img-gorod.ru/310x500/nomenclature/25/659/2565919_1.jpg;"Человечность познается в отношении к братьям нашим меньшим. Книга ""Кошки, собаки и... другие люди""  написана человеком, не понаслышке знакомым с человеческой жестокостью по отношению к кошкам, собакам, попугаям, черепахам, хомякам и другим домашним животным.       Эта книга о сострадании и любви, о помощи и о настоящих людях. Подлинные истории о животных, обретших вторую жизнь и новых хозяев. О людях, пересмотревших взгляд на свою жизнь и ставших по-настоящему людьми."
Хозяин собаки;Брюс Кэмерон;4.39;Отсутствует;Отсутствует;Эксмо;2017;978-5-699-93501-7;https://cdn.img-gorod.ru/310x500/nomenclature/25/701/2570130.jpg;"Брюс Кэмерон замахнулся на поистине сложную вещь - показать процесс одомашнивания волка. И ему, надо признать, это удалось: книга ""Хозяин собаки"" способна не только поразить воображение, но и тронуть душу. Эпоха палеолита - страшное и жестокое время, и Мор, изгнанный из сурового племени охотников, знает об этом не понаслышке. Он с трудом находит убежище, чтобы согреться и выжить, и обнаруживает в нем раненую волчицу с волчатами. Так у человека, обреченного на смерть, появляется друг - собака. Теперь Мору предстоит обучить ее премудростям охоты. А тем временем старое племя идет по его следу, а значит, он и его собака в опасности.."
